group,species_code,common_name,scientific_name,french,full_extent,year_start,year_end,year_interval
bird,bird-alfl,Alder Flycatcher,Empidonax alnorum,Moucherolle des aulnes,TRUE,2011,2091,20
bird,bird-amcr,American Crow,Corvus brachyrhynchos,Corneille d'Am&eacute;rique,TRUE,2011,2091,20
bird,bird-amgo,American Goldfinch,Spinus tristis,Chardonneret jaune,TRUE,2011,2091,20
bird,bird-amre,American Redstart,Setophaga ruticilla,Paruline flamboyante,TRUE,2011,2091,20
bird,bird-amro,American Robin,Turdus migratorius,Merle d'Am&eacute;rique,TRUE,2011,2091,20
bird,bird-atsp,American Tree Sparrow,Spizella arborea,Bruant hudsonien,TRUE,2011,2091,20
bird,bird-attw,American Three-toed Woodpecker,Picoides dorsalis,Pic &agrave; dos ray&eacute;,TRUE,2011,2091,20
bird,bird-baor,Baltimore Oriole,Icterus galbula,Oriole de Baltimore,TRUE,2011,2091,20
bird,bird-bars,Barn Swallow,Hirundo rustica,Hirondelle rustique,TRUE,2011,2091,20
bird,bird-baww,Black-and-white Warbler,Mniotilta varia,Paruline noir et blanc,TRUE,2011,2091,20
bird,bird-bbcu,Black-billed Cuckoo,Coccyzus erythropthalmus,Coulicou &agrave; bec noir,TRUE,2011,2091,20
bird,bird-bbma,Black-billed Magpie,Pica hudsonia,Pie d'Am&eacute;rique,TRUE,2011,2091,20
bird,bird-bbwa,Bay-breasted Warbler,Setophaga castanea,Paruline &agrave; poitrine baie,TRUE,2011,2091,20
bird,bird-bbwo,Black-backed Woodpecker,Picoides arcticus,Pic &agrave; dos noir,TRUE,2011,2091,20
bird,bird-bcch,Black-capped Chickadee,Poecile atricapillus,M&eacute;sange &agrave; t&ecirc;te noire,TRUE,2011,2091,20
bird,bird-beki,Belted Kingfisher,Megaceryle alcyon,Martin-p&ecirc;cheur d'Am&eacute;rique,TRUE,2011,2091,20
bird,bird-bhco,Brown-headed Cowbird,Molothrus ater,Vacher &agrave; t&ecirc;te brune,TRUE,2011,2091,20
bird,bird-bhvi,Blue-headed Vireo,Vireo solitarius,Vir&eacute;o &agrave; t&ecirc;te bleue,TRUE,2011,2091,20
bird,bird-blbw,Blackburnian Warbler,Setophaga fusca,Paruline &agrave; gorge orang&eacute;e,TRUE,2011,2091,20
bird,bird-blja,Blue Jay,Cyanocitta cristata,Geai bleu,TRUE,2011,2091,20
bird,bird-blpw,Blackpoll Warbler,Setophaga striata,Paruline ray&eacute;e,TRUE,2011,2091,20
bird,bird-bobo,Bobolink,Dolichonyx oryzivorus,Goglu des pr&eacute;s,TRUE,2011,2091,20
bird,bird-boch,Boreal Chickadee,Poecile hudsonicus,M&eacute;sange &agrave; t&ecirc;te brune,TRUE,2011,2091,20
bird,bird-bowa,Bohemian Waxwing,Bombycilla garrulus,Jaseur bor&eacute;al,TRUE,2011,2091,20
bird,bird-brbl,Brewer's Blackbird,Euphagus cyanocephalus,Quiscale de Brewer,TRUE,2011,2091,20
bird,bird-brcr,Brown Creeper,Certhia americana,Grimpereau brun,TRUE,2011,2091,20
bird,bird-btnw,Black-throated Green Warbler,Setophaga virens,Paruline &agrave; gorge noire,TRUE,2011,2091,20
bird,bird-cawa,Canada Warbler,Cardellina canadensis,Paruline du Canada,TRUE,2011,2091,20
bird,bird-ccsp,Clay-colored Sparrow,Spizella pallida,Bruant des plaines,TRUE,2011,2091,20
bird,bird-cedw,Cedar Waxwing,Bombycilla cedrorum,Jaseur d'Am&eacute;rique,TRUE,2011,2091,20
bird,bird-chsp,Chipping Sparrow,Spizella passerina,Bruant familier,TRUE,2011,2091,20
bird,bird-cmwa,Cape May Warbler,Setophaga tigrina,Paruline tigr&eacute;e,TRUE,2011,2091,20
bird,bird-cogr,Common Grackle,Quiscalus quiscula,Quiscale bronz&eacute;,TRUE,2011,2091,20
bird,bird-conw,Connecticut Warbler,Oporornis agilis,Paruline &agrave; gorge grise,TRUE,2011,2091,20
bird,bird-cora,Common Raven,Corvus corax,Grand Corbeau,TRUE,2011,2091,20
bird,bird-coye,Common Yellowthroat,Geothlypis trichas,Paruline masqu&eacute;e,TRUE,2011,2091,20
bird,bird-cswa,Chestnut-sided Warbler,Setophaga pensylvanica,Paruline &agrave; flancs marron,TRUE,2011,2091,20
bird,bird-deju,Dark-eyed Junco,Junco hyemalis,Junco ardois&eacute;,TRUE,2011,2091,20
bird,bird-dowo,Downy Woodpecker,Picoides pubescens,Pic mineur,TRUE,2011,2091,20
bird,bird-eaki,Eastern Kingbird,Tyrannus tyrannus,Tyran tritri,TRUE,2011,2091,20
bird,bird-eaph,Eastern Phoebe,Sayornis phoebe,Moucherolle ph&eacute;bi,TRUE,2011,2091,20
bird,bird-eust,European Starling,Sturnus vulgaris,&Eacute;tourneau sansonnet,TRUE,2011,2091,20
bird,bird-evgr,Evening Grosbeak,Coccothraustes vespertinus,Gros-bec errant,TRUE,2011,2091,20
bird,bird-fosp,Fox Sparrow,Passerella iliaca,Bruant fauve,TRUE,2011,2091,20
