"group","species_code","common_name","scientific_name"
"bird","ALFL","Alder Flycatcher","Empidonax alnorum"
"bird","AMCR","American Crow","Corvus brachyrhynchos"
"bird","AMRE","American Redstart","Setophaga ruticilla"
"bird","AMRO","American Robin","Turdus migratorius"
"bird","ATSP","American Tree Sparrow","Spizella arborea"
"bird","BAWW","Black-and-white Warbler","Mniotilta varia"
"bird","BBWA","Bay-breasted Warbler","Setophaga castanea"
"bird","BBWO","Black-backed Woodpecker","Picoides arcticus"
"bird","BCCH","Black-capped Chickadee","Poecile atricapillus"
"bird","BHCO","Brown-headed Cowbird","Molothrus ater"
"bird","BHVI","Blue-headed Vireo","Vireo solitarius"
"bird","BLPW","Blackpoll Warbler","Setophaga striata"
"bird","BOCH","Boreal Chickadee","Poecile hudsonicus"
"bird","BRBL","Brewer's Blackbird","Euphagus cyanocephalus"
"bird","BRCR","Brown Creeper","Certhia americana"
"bird","BTNW","Black-throated Green Warbler","Setophaga virens"
"bird","CAWA","Canada Warbler","Cardellina canadensis"
"bird","CHSP","Chipping Sparrow","Spizella passerina"
"bird","CORA","Common Raven","Corvus corax"
"bird","COYE","Common Yellowthroat","Geothlypis trichas"
"bird","DEJU","Dark-eyed Junco","Junco hyemalis"
"bird","EAKI","Eastern Kingbird","Tyrannus tyrannus"
"bird","EAPH","Eastern Phoebe","Sayornis phoebe"
"bird","FOSP","Fox Sparrow","Passerella iliaca"
"bird","GRAJ","Gray Jay","Perisoreus canadensis"
"bird","HETH","Hermit Thrush","Catharus guttatus"
"bird","HOLA","Horned Lark","Eremophila alpestris"
"bird","LCSP","Le Conte's Sparrow","Ammodramus leconteii"
"bird","LEFL","Least Flycatcher","Empidonax minimus"
"bird","LISP","Lincoln's Sparrow","Melospiza lincolnii"
"bird","MAWA","Magnolia Warbler","Setophaga magnolia"
"bird","NOFL","Northern Flicker","Colaptes auratus"
"bird","NOWA","Northern Waterthrush","Parkesia noveboracensis"
"bird","OCWA","Orange-crowned Warbler","Oreothlypis celata"
"bird","OSFL","Olive-sided Flycatcher","Contopus cooperi"
"bird","OVEN","Ovenbird Seiurus","aurocapilla 57723"
"bird","PAWA","Palm Warbler","Setophaga palmarum"
"bird","PISI","Pine Siskin","Spinus pinus"
"bird","PIWO","Pileated Woodpecker","Dryocopus pileatus"
"bird","PUFI","Purple Finch","Haemorhous purpureus"
"bird","RBGR","Rose-breasted Grosbeak","Pheucticus ludovicianus"
"bird","RBNU","Red-breasted Nuthatch","Sitta canadensis"
"bird","RCKI","Ruby-crowned Kinglet","Regulus calendula"
"bird","REVI","Red-eyed Vireo","Vireo olivaceus"
"bird","RUGR","Ruffed Grouse","Bonasa umbellus"
"bird","RWBL","Red-winged Blackbird","Agelaius phoeniceus"
"bird","SAVS","Savannah Sparrow","Passerculus sandwichensis"
"bird","SOSP","Song Sparrow","Melospiza melodia"
"bird","SWSP","Swamp Sparrow","Melospiza georgiana"
"bird","SWTH","Swainson's Thrush","Catharus ustulatus"
"bird","TEWA","Tennessee Warbler","Oreothlypis peregrina"
"bird","TRES","Tree Swallow","Tachycineta bicolor"
"bird","WAVI","Warbling Vireo","Vireo gilvus"
"bird","WCSP","White-crowned Sparrow","Zonotrichia leucophrys"
"bird","WETA","Western Tanager","Piranga ludoviciana"
"bird","WEWP","Western Wood-Pewee","Contopus sordidulus"
"bird","WIWA","Wilson's Warbler","Cardellina pusilla"
"bird","WIWR","Winter Wren","Troglodytes hiemalis"
"bird","WTSP","White-throated Sparrow","Zonotrichia albicollis"
"bird","WWCR","White-winged Crossbill","Loxia leucoptera"
"bird","YBFL","Yellow-bellied Flycatcher","Empidonax flaviventris"
"bird","YBSA","Yellow-bellied Sapsucker","Sphyrapicus varius"
"bird","YEWA","Yellow Warbler","Setophaga petechia"
"bird","YRWA","Yellow-rumped Warbler","Setophaga coronata"
"tree","betu-pap","Paper Birch","Betule pendula"
"tree","lari-lar","Tamarack","Larix laricina"
"tree","pice-gla","White Spruce","Picea glauca"
"tree","pice-mar","Black Spruce","Picea mariana"
"tree","pinu-ban","Jack Pine","Pinus banksiana"
"tree","popu-tre","Trembling Aspen","Populus tremuloides"
