"kind","group","element","scenario","period","resolution","file","path"
"elements","bird","bird-alfl","landr-scfm-v4","2011","250m","mean.tif","api/v1/public/wbi-nwt/elements/bird-alfl/landr-scfm-v4/2011/250m/mean.tif"
"elements","bird","bird-amcr","landr-scfm-v4","2011","250m","mean.tif","api/v1/public/wbi-nwt/elements/bird-amcr/landr-scfm-v4/2011/250m/mean.tif"
"elements","bird","bird-amre","landr-scfm-v4","2011","250m","mean.tif","api/v1/public/wbi-nwt/elements/bird-amre/landr-scfm-v4/2011/250m/mean.tif"
"elements","bird","bird-amro","landr-scfm-v4","2011","250m","mean.tif","api/v1/public/wbi-nwt/elements/bird-amro/landr-scfm-v4/2011/250m/mean.tif"
"elements","bird","bird-atsp","landr-scfm-v4","2011","250m","mean.tif","api/v1/public/wbi-nwt/elements/bird-atsp/landr-scfm-v4/2011/250m/mean.tif"
"elements","bird","bird-baww","landr-scfm-v4","2011","250m","mean.tif","api/v1/public/wbi-nwt/elements/bird-baww/landr-scfm-v4/2011/250m/mean.tif"
"elements","bird","bird-bbwa","landr-scfm-v4","2011","250m","mean.tif","api/v1/public/wbi-nwt/elements/bird-bbwa/landr-scfm-v4/2011/250m/mean.tif"
"elements","bird","bird-bbwo","landr-scfm-v4","2011","250m","mean.tif","api/v1/public/wbi-nwt/elements/bird-bbwo/landr-scfm-v4/2011/250m/mean.tif"
"elements","bird","bird-bcch","landr-scfm-v4","2011","250m","mean.tif","api/v1/public/wbi-nwt/elements/bird-bcch/landr-scfm-v4/2011/250m/mean.tif"
"elements","bird","bird-bhco","landr-scfm-v4","2011","250m","mean.tif","api/v1/public/wbi-nwt/elements/bird-bhco/landr-scfm-v4/2011/250m/mean.tif"
"elements","bird","bird-bhvi","landr-scfm-v4","2011","250m","mean.tif","api/v1/public/wbi-nwt/elements/bird-bhvi/landr-scfm-v4/2011/250m/mean.tif"
"elements","bird","bird-blpw","landr-scfm-v4","2011","250m","mean.tif","api/v1/public/wbi-nwt/elements/bird-blpw/landr-scfm-v4/2011/250m/mean.tif"
"elements","bird","bird-boch","landr-scfm-v4","2011","250m","mean.tif","api/v1/public/wbi-nwt/elements/bird-boch/landr-scfm-v4/2011/250m/mean.tif"
"elements","bird","bird-brbl","landr-scfm-v4","2011","250m","mean.tif","api/v1/public/wbi-nwt/elements/bird-brbl/landr-scfm-v4/2011/250m/mean.tif"
"elements","bird","bird-brcr","landr-scfm-v4","2011","250m","mean.tif","api/v1/public/wbi-nwt/elements/bird-brcr/landr-scfm-v4/2011/250m/mean.tif"
"elements","bird","bird-btnw","landr-scfm-v4","2011","250m","mean.tif","api/v1/public/wbi-nwt/elements/bird-btnw/landr-scfm-v4/2011/250m/mean.tif"
"elements","bird","bird-cawa","landr-scfm-v4","2011","250m","mean.tif","api/v1/public/wbi-nwt/elements/bird-cawa/landr-scfm-v4/2011/250m/mean.tif"
"elements","bird","bird-chsp","landr-scfm-v4","2011","250m","mean.tif","api/v1/public/wbi-nwt/elements/bird-chsp/landr-scfm-v4/2011/250m/mean.tif"
"elements","bird","bird-cora","landr-scfm-v4","2011","250m","mean.tif","api/v1/public/wbi-nwt/elements/bird-cora/landr-scfm-v4/2011/250m/mean.tif"
"elements","bird","bird-coye","landr-scfm-v4","2011","250m","mean.tif","api/v1/public/wbi-nwt/elements/bird-coye/landr-scfm-v4/2011/250m/mean.tif"
"elements","bird","bird-deju","landr-scfm-v4","2011","250m","mean.tif","api/v1/public/wbi-nwt/elements/bird-deju/landr-scfm-v4/2011/250m/mean.tif"
"elements","bird","bird-eaki","landr-scfm-v4","2011","250m","mean.tif","api/v1/public/wbi-nwt/elements/bird-eaki/landr-scfm-v4/2011/250m/mean.tif"
"elements","bird","bird-eaph","landr-scfm-v4","2011","250m","mean.tif","api/v1/public/wbi-nwt/elements/bird-eaph/landr-scfm-v4/2011/250m/mean.tif"
"elements","bird","bird-fosp","landr-scfm-v4","2011","250m","mean.tif","api/v1/public/wbi-nwt/elements/bird-fosp/landr-scfm-v4/2011/250m/mean.tif"
"elements","bird","bird-graj","landr-scfm-v4","2011","250m","mean.tif","api/v1/public/wbi-nwt/elements/bird-graj/landr-scfm-v4/2011/250m/mean.tif"
"elements","bird","bird-heth","landr-scfm-v4","2011","250m","mean.tif","api/v1/public/wbi-nwt/elements/bird-heth/landr-scfm-v4/2011/250m/mean.tif"
"elements","bird","bird-hola","landr-scfm-v4","2011","250m","mean.tif","api/v1/public/wbi-nwt/elements/bird-hola/landr-scfm-v4/2011/250m/mean.tif"
"elements","bird","bird-lcsp","landr-scfm-v4","2011","250m","mean.tif","api/v1/public/wbi-nwt/elements/bird-lcsp/landr-scfm-v4/2011/250m/mean.tif"
"elements","bird","bird-lefl","landr-scfm-v4","2011","250m","mean.tif","api/v1/public/wbi-nwt/elements/bird-lefl/landr-scfm-v4/2011/250m/mean.tif"
"elements","bird","bird-lisp","landr-scfm-v4","2011","250m","mean.tif","api/v1/public/wbi-nwt/elements/bird-lisp/landr-scfm-v4/2011/250m/mean.tif"
"elements","bird","bird-mawa","landr-scfm-v4","2011","250m","mean.tif","api/v1/public/wbi-nwt/elements/bird-mawa/landr-scfm-v4/2011/250m/mean.tif"
"elements","bird","bird-nofl","landr-scfm-v4","2011","250m","mean.tif","api/v1/public/wbi-nwt/elements/bird-nofl/landr-scfm-v4/2011/250m/mean.tif"
"elements","bird","bird-nowa","landr-scfm-v4","2011","250m","mean.tif","api/v1/public/wbi-nwt/elements/bird-nowa/landr-scfm-v4/2011/250m/mean.tif"
"elements","bird","bird-ocwa","landr-scfm-v4","2011","250m","mean.tif","api/v1/public/wbi-nwt/elements/bird-ocwa/landr-scfm-v4/2011/250m/mean.tif"
"elements","bird","bird-osfl","landr-scfm-v4","2011","250m","mean.tif","api/v1/public/wbi-nwt/elements/bird-osfl/landr-scfm-v4/2011/250m/mean.tif"
"elements","bird","bird-oven","landr-scfm-v4","2011","250m","mean.tif","api/v1/public/wbi-nwt/elements/bird-oven/landr-scfm-v4/2011/250m/mean.tif"
"elements","bird","bird-pawa","landr-scfm-v4","2011","250m","mean.tif","api/v1/public/wbi-nwt/elements/bird-pawa/landr-scfm-v4/2011/250m/mean.tif"
